pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode
DCAC,RP,1.0,80,300,50,20,0.01,0.15,1e-05,0.5614788498480404,0.98,0.5502492728510796,59.64,1.28,0.02,9.085295437811782,0.7122394674577954,0.243622861195533,RP,RP,
DCAC,RP,1.0,100,300,50,20,0.01,0.15,1e-05,0.2946626190037283,0.92,0.2710896094834301,31.26,0.82,0.08,4.830614047048469,0.8898042077625077,0.3526686904981359,RP,RP,
DCDC,CDP,0.25,0,270,50,20,0.01,0.15,1e-05,0.8441589075503948,0.88,0.7428598386443475,112.7,0.58,0.12,17.883178151007897,0.4512967100922433,0.155841092449605,CDP,CDP,
DCDC,CDP,0.25,20,300,50,20,0.01,0.15,1e-05,0.4413087530512441,0.92,0.4060040528071446,57.92,2.48,0.08,9.208342806753144,0.7314673936806382,0.4655760391239633,CDP,CDP,
DCDC,CDP,0.25,40,300,50,20,0.01,0.15,1e-05,0.1825255221626102,0.96,0.1752245012761058,22.34,1.04,0.04,4.139438981196896,0.9106316158926052,0.5839103413124214,CDP,CDP,
DCDC,CDP,0.25,60,300,50,20,0.01,0.15,1e-05,0.1411641830859334,1.0,0.1411641830859334,15.44,0.54,0.0,3.2303940927577472,0.9358391553220516,0.5367723855712916,CDP,CDP,
DCDC,CDP,0.25,80,300,50,20,0.01,0.15,1e-05,0.1536348149899857,1.0,0.1536348149899857,16.42,0.58,0.0,3.2123413358557946,0.9430509961254018,0.4702028805611189,CDP,CDP,
DCDC,CDP,0.25,100,300,50,20,0.01,0.15,1e-05,0.0982456139042411,0.96,0.0943157893480714,10.8,0.46,0.04,2.2771929807551348,0.9814680808126124,0.4508771930478794,CDP,CDP,
DCDC,CDP,0.5,0,210,50,20,0.01,0.15,1e-05,0.8207214566662357,0.92,0.7550637401329369,106.32,2.0,0.08,17.414429133324713,0.4665310531669467,0.1792785433337643,CDP,CDP,
DCDC,CDP,0.5,20,300,50,20,0.01,0.15,1e-05,0.4982573709912554,0.96,0.4783270761516052,61.68,1.94,0.04,10.26758710043735,0.6953327088556839,0.4181188575072873,CDP,CDP,
DCDC,CDP,0.5,40,300,50,20,0.01,0.15,1e-05,0.1647248140865645,0.96,0.1581358215231019,21.76,0.9,0.04,3.8332668022889105,0.9227795833987148,0.5966251327953112,CDP,CDP,
DCDC,CDP,0.5,60,300,50,20,0.01,0.15,1e-05,0.1311915279300625,1.0,0.1311915279300625,14.32,0.66,0.0,3.0728261412949887,0.9437936880730942,0.5430052950437109,CDP,CDP,
DCDC,CDP,0.5,80,300,50,20,0.01,0.15,1e-05,0.1127334764582999,1.0,0.1127334764582999,12.04,0.66,0.0,2.6233620609995194,0.9701296057146362,0.4929258464120555,CDP,CDP,
DCDC,CDP,0.5,100,300,50,20,0.01,0.15,1e-05,0.0982456139042411,0.96,0.0943157893480714,10.8,0.46,0.04,2.2771929807551348,0.9814680808126124,0.4508771930478794,CDP,CDP,
