pattern,strategy,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,best_before_guard_mode,safe_guard_mode,selected_policy
RC,DRAD-CF-MPC,0.25,0,210,50,20,0.01,0.15,1e-05,0.8161397771323489,0.92,0.750848594961761,101.58,2.06,0.08,17.322795542646976,0.4695091448639732,0.1838602228676511,NP,NP,zero_budget,NP
RC,DRAD-CF-MPC,0.25,20,300,50,20,0.01,0.15,1e-05,0.4715686132041735,0.9,0.4244117518837561,60.0,1.96,0.1,9.771176205597628,0.7114453428772368,0.4403594889965221,CDP,CDP_PHYSICS_90,switched_with_counterfactual_gain,CDP
RC,DRAD-CF-MPC,0.25,40,270,50,20,0.01,0.15,1e-05,0.1693522743973017,1.0,0.1693522743973017,20.34,1.22,0.0,3.912859119633589,0.9188723669846816,0.5933198040019273,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
RC,DRAD-CF-MPC,0.25,60,300,50,20,0.01,0.15,1e-05,0.1159645954346154,1.0,0.1159645954346154,14.48,0.72,0.0,2.832240607866924,0.9514462400878786,0.5525221278533654,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
RC,DRAD-CF-MPC,0.25,80,300,50,20,0.01,0.15,1e-05,0.103690190340315,0.98,0.1016163865335087,13.66,0.62,0.02,2.493138740900537,0.967822570692612,0.4979498942553805,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
RC,DRAD-CF-MPC,0.25,100,300,50,20,0.01,0.15,1e-05,0.0672994966757308,0.98,0.0659535067422162,8.6,0.42,0.02,1.8748934567845013,0.9895960201978014,0.4663502516621345,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
RC,DRAD-CF-MPC,0.5,0,210,50,20,0.01,0.15,1e-05,0.8468791908153301,0.92,0.7791288555501038,106.32,2.0,0.08,17.937583816306606,0.4495285259700353,0.1531208091846698,NP,NP,zero_budget,NP
RC,DRAD-CF-MPC,0.5,20,300,50,20,0.01,0.15,1e-05,0.5017203873737734,0.96,0.4816515718788225,61.38,1.9,0.04,10.331999205152185,0.6930817482070474,0.4152330105218555,CDP,CDP,switched_with_counterfactual_gain,CDP
RC,DRAD-CF-MPC,0.5,40,300,50,20,0.01,0.15,1e-05,0.1982093684898344,1.0,0.1982093684898344,24.16,0.98,0.0,4.409201138025153,0.903186930150628,0.5727075939358326,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
RC,DRAD-CF-MPC,0.5,60,300,50,20,0.01,0.15,1e-05,0.1127742096684633,0.98,0.1105187254750941,14.22,0.54,0.02,2.7818325127617216,0.9554102062717444,0.5545161189572103,CDP,RANK_ENSEMBLE,switched_with_counterfactual_gain,CDP
RC,DRAD-CF-MPC,0.5,80,300,50,20,0.01,0.15,1e-05,0.1025623275653024,0.98,0.1005110810139964,12.84,0.7,0.02,2.476897516940355,0.9700874328572952,0.498576484685943,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
RC,DRAD-CF-MPC,0.5,100,240,50,20,0.01,0.15,1e-05,0.0649343190568758,1.0,0.0649343190568758,8.2,0.28,0.0,1.844146147739386,0.9940354478205088,0.4675328404715621,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
RC,DRAD-CF-MPC,1.0,0,210,50,20,0.01,0.15,1e-05,0.8737665300153449,0.94,0.8213405382144241,107.98,1.42,0.06,18.4753306003069,0.4320517554900256,0.1262334699846549,NP,NP,zero_budget,NP
RC,DRAD-CF-MPC,1.0,20,300,50,20,0.01,0.15,1e-05,0.5530750524061253,0.92,0.5088290482136353,68.26,2.18,0.08,11.28719597475393,0.6589012159360185,0.3724374563282289,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
RC,DRAD-CF-MPC,1.0,40,300,50,20,0.01,0.15,1e-05,0.2072880403443862,0.98,0.2031422795374985,25.88,1.0,0.02,4.565354293923443,0.8939964715385238,0.5662228283254385,CDP,CDP_PHYSICS_95,switched_with_counterfactual_gain,CDP
RC,DRAD-CF-MPC,1.0,60,300,50,20,0.01,0.15,1e-05,0.1238632464443297,0.98,0.1213859815154431,15.46,0.56,0.02,2.9570392938204098,0.9494791508749284,0.5475854709722938,CDP,CDP_PDP_90,switched_with_counterfactual_gain,CDP
RC,DRAD-CF-MPC,1.0,80,300,50,20,0.01,0.15,1e-05,0.0965192089750423,0.98,0.0945888247955415,12.64,0.6,0.02,2.38987660924061,0.9750562234106,0.5019337727916431,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
RC,DRAD-CF-MPC,1.0,100,240,50,20,0.01,0.15,1e-05,0.0642991061585069,1.0,0.0642991061585069,8.02,0.32,0.0,1.8358883800605903,0.9930361709784647,0.4678504469207464,RANK_ENSEMBLE,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
