node_type,pattern,attack_information_ratio,defense_budget,T_opt,n_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,mean_affected_power_nodes,mean_affected_capacity,RT,RI,RE
CYBER_PHYSICS_OVERLAP,DDAC,1.0,100,300,40,0.01,0.15,1e-05,0.1519736828069409,0.975,0.1481743407367674,15.425,0.65,0.025,15.1,1475.915,2.9756578764902333,0.9605049390973204,0.4240131585965295
CYBER_PHYSICS_OVERLAP,DDDC,0.25,20,300,40,0.01,0.15,1e-05,0.5271694333733301,0.95,0.5008109617046635,75.45,2.225,0.05,71.15,3962.255,10.80535146074394,0.6763398683073355,0.3940254721888916
CYBER_PHYSICS_OVERLAP,DDDC,0.25,40,300,40,0.01,0.15,1e-05,0.3139922849344607,1.0,0.3139922849344607,47.225,1.8,0.0,47.225,2367.76,6.4006673008727235,0.8328334998984076,0.4900055107610995
CYBER_PHYSICS_OVERLAP,DDDC,0.25,60,300,40,0.01,0.15,1e-05,0.241725784798362,1.0,0.241725784798362,36.6,1.625,0.0,36.6,1869.62,4.81926739981412,0.8959918744783462,0.4739213845010237
CYBER_PHYSICS_OVERLAP,DDDC,0.25,100,300,40,0.01,0.15,1e-05,0.0572001923720461,1.0,0.0572001923720461,8.5,0.4,0.0,8.5,431.5,1.7436025008365994,0.9963415908081212,0.471399903813977
CYBER_PHYSICS_OVERLAP,DDDC,0.5,20,300,40,0.01,0.15,1e-05,0.5775870533304894,0.95,0.5487077006639649,80.25,2.75,0.05,78.35,4461.6900000000005,11.743119191947104,0.6435684153351818,0.3520107888912588
CYBER_PHYSICS_OVERLAP,DDDC,0.5,40,300,40,0.01,0.15,1e-05,0.302967323770701,0.925,0.2802447744878985,48.4,2.0,0.075,45.6,2336.05,6.211037968856057,0.8389982515723287,0.4978804830209279
CYBER_PHYSICS_OVERLAP,DDDC,0.5,60,300,40,0.01,0.15,1e-05,0.2546437284402066,0.925,0.2355454488071911,39.075,1.6,0.075,37.225,2002.01,5.023370909355266,0.8863848748896164,0.4658476697248709
CYBER_PHYSICS_OVERLAP,DDDC,0.5,100,300,40,0.01,0.15,1e-05,0.0732472967091728,1.0,0.0732472967091728,10.65,0.7,0.0,10.65,588.635,1.952214857219247,0.9899118502036044,0.4633763516454136
CYBER_PHYSICS_OVERLAP,DDDC,1.0,20,300,40,0.01,0.15,1e-05,0.563002300736413,0.925,0.520777128181182,81.875,2.4,0.075,76.325,4434.535000000001,11.471842793697284,0.6525485045213315,0.3641647493863225
