mode,pattern,attack_information_ratio,defense_budget,T_opt,n_runs,lookahead_runs,infection_rate,activation_rate,detection_rate,PAS_at_T_opt,PS_at_T_opt,EP_max,mean_active_infectious,mean_exposed,mean_detected,RT,RI,RE,selected_policy_mode,safe_guard_mode,best_before_guard_mode
FULL,DDDC,0.25,40,300,30,10,0.01,0.15,1e-05,0.212323359371959,1.0,0.212323359371959,25.166666666666668,1.6,0.0,4.651961781197696,0.8970046117174781,0.5626261718771722,CDP,cdp_best,CDP
FULL,DDDC,0.25,60,300,30,10,0.01,0.15,1e-05,0.1191191086928717,1.0,0.1191191086928717,13.1,0.6666666666666666,0.0,2.882081917347375,0.954055700975679,0.5505505570669552,CDP_PDP_90,switched_with_counterfactual_gain,CDP_PDP_90
FULL,DDDC,0.25,80,270,30,10,0.01,0.15,1e-05,0.1335346265429028,1.0,0.1335346265429028,13.666666666666666,0.7333333333333333,0.0,2.9228986222178017,0.957404839791884,0.4813696519206095,CDP,switched_with_counterfactual_gain,CDP
FULL,DDDC,0.25,100,300,30,10,0.01,0.15,1e-05,0.0680589781709234,1.0,0.0680589781709234,8.966666666666667,0.2333333333333333,0.0,1.8847667162220048,0.9880247555231064,0.4659705109145383,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
FULL,DDDC,0.5,0,300,30,10,0.01,0.15,1e-05,0.9160698946047507,0.9333333333333332,0.8549985682977673,115.46666666666668,0.3333333333333333,0.0666666666666666,19.321397892095018,0.404554568506912,0.0839301053952493,NP,zero_budget,NP
FULL,DDDC,0.5,20,300,30,10,0.01,0.15,1e-05,0.4361451167600195,1.0,0.4361451167600195,51.63333333333333,2.2,0.0,9.112299171736367,0.7365056741059871,0.4698790693666503,CDP,switched_with_counterfactual_gain,CDP_PHYSICS_90
FULL,DDDC,0.5,40,300,30,10,0.01,0.15,1e-05,0.1953370322002374,0.9333333333333332,0.1823145633868883,23.333333333333332,1.0,0.0666666666666666,4.359796953844084,0.9010233805650096,0.5747592627141161,CDP,cdp_best,CDP
FULL,DDDC,0.5,60,270,30,10,0.01,0.15,1e-05,0.131136170722774,1.0,0.131136170722774,14.233333333333333,1.0333333333333334,0.0,3.071951497419829,0.9518803632681756,0.5430398932982662,CDP,switched_with_counterfactual_gain,CDP
FULL,DDDC,0.5,80,270,30,10,0.01,0.15,1e-05,0.1581129528629726,1.0,0.1581129528629726,17.166666666666668,1.0666666666666669,0.0,3.276826521226805,0.947319247393118,0.4677150261872374,CDP,switched_with_counterfactual_gain,CDP_PHYSICS_90
FULL,DDDC,0.5,100,270,30,10,0.01,0.15,1e-05,0.0590250228160541,1.0,0.0590250228160541,9.2,0.5666666666666667,0.0,1.7673252966087032,0.9937447600857257,0.470487488591973,HYBRID,switched_with_counterfactual_gain,HYBRID
FULL,DDDC,1.0,0,210,30,10,0.01,0.15,1e-05,0.8612144791429347,0.9333333333333332,0.8038001805334057,108.9,1.1333333333333333,0.0666666666666666,18.2242895828587,0.4402105885570924,0.1387855208570652,NP,zero_budget,NP
FULL,DDDC,1.0,20,300,30,10,0.01,0.15,1e-05,0.4175256513543593,0.9333333333333332,0.3896906079307353,53.166666666666664,1.8666666666666667,0.0666666666666666,8.765977115191083,0.7472749932863331,0.4853952905380339,CDP,cdp_best,CDP
FULL,DDDC,1.0,40,300,30,10,0.01,0.15,1e-05,0.2378575892390729,0.9666666666666668,0.2299290029311038,27.6,1.3666666666666667,0.0333333333333333,5.091150534912054,0.8780651624591861,0.5443874362578052,CDP,switched_with_counterfactual_gain,CDP_PHYSICS_90
FULL,DDDC,1.0,60,270,30,10,0.01,0.15,1e-05,0.131136170722774,1.0,0.131136170722774,14.233333333333333,1.0333333333333334,0.0,3.071951497419829,0.9518803632681756,0.5430398932982662,CDP,switched_with_counterfactual_gain,CDP
FULL,DDDC,1.0,80,270,30,10,0.01,0.15,1e-05,0.1607294678769449,1.0,0.1607294678769449,17.966666666666665,0.9333333333333332,0.0,3.314504337428006,0.945902972456062,0.4662614067350307,CDP,switched_with_counterfactual_gain,CDP_PHYSICS_90
FULL,DDDC,1.0,100,300,30,10,0.01,0.15,1e-05,0.0666133619100585,1.0,0.0666133619100585,8.733333333333333,0.2666666666666666,0.0,1.8659737048307616,0.9880247555231064,0.4666933190449707,RANK_ENSEMBLE,switched_with_counterfactual_gain,RANK_ENSEMBLE
FULL,RC,0.25,0,300,30,10,0.01,0.15,1e-05,0.852051540668748,0.8666666666666667,0.7384446685795816,111.13333333333334,0.9,0.1333333333333333,18.041030813374963,0.4461664985653138,0.147948459331252,NP,zero_budget,NP
